id,Name,x,y,Responsavel
"1",Butia catarinensis,-49.405847,-28.943197,"Patricio, 2014"
"2",Butia catarinensis,-48.75323461,-28.5004827,"Schrickte, 2019"
"3",Butia catarinensis,-48.4493990802613,-27.6179288691199,"Bessell, 2018"
"4",Butia catarinensis,-49.274593,-28.81415,"Zanoni, 2022"
"5",Butia catarinensis,-50.13136847,-29.74702238,Embrapa - Pelotas
"6",Butia catarinensis,-50.21614209,-29.89890925,Embrapa - Pelotas
"7",Butia catarinensis,-50.15706735,-29.8325983,Embrapa - Pelotas
"8",Butia catarinensis,-49.7634371,-29.34447279,Embrapa - Pelotas
"9",Butia catarinensis,-49.80950817,-29.40267821,Embrapa - Pelotas
"10",Butia catarinensis,-48.6833,-28.203605,"Embrapa - Pelotas/ Werner_martins, 2023/ Sampaio, 2011/ Fogaça, 2017/ "
"11",Butia catarinensis,-48.67247,-28.206794,"Embrapa - Pelotas/ Werner_martins, 2023/"
"12",Butia catarinensis,-48.70507,-28.192042,Embrapa - Pelotas
"13",Butia catarinensis,-48.8069,-28.4386,"Werner_Martins, 2023/ Fogaça, 2014"
"14",Butia catarinensis,-48.7651,-28.3964,"Werner_Martins, 2023/ Fogaça, 2014"
"15",Butia eriospatha,-50.608056,-27.245556,"Goesten, 2023"
"16",Butia eriospatha,-52.452389,-27.852667,HUCS 
"17",Butia eriospatha,-50.61777778,-27.19444444,"Ribeiro, 2017/ ICN"
"18",Butia eriospatha,-50.59333333,-27.12370556,"Ribeiro, 2017"
"19",Butia eriospatha,-51.36582693,-27.76802599,Embrapa - Pelotas
"20",Butia eriospatha,-51.28909711,-27.78486439,Embrapa - Pelotas
"21",Butia eriospatha,-51.23878006,-27.83969508,Embrapa - Pelotas
"22",Butia exilata,-52.84992131,-27.84025705,Embrapa - Pelotas
"23",Butia lallemantii,-55.094532,-29.566242,HAS
"24",Butia lallemantii,-55.47804411,-29.92319039,Embrapa - Pelotas
"25",Butia lallemantii,-55.53732882,-29.61138887,Embrapa - Pelotas
"26",Butia lallemantii,-55.36820719,-29.60095398,Embrapa - Pelotas
"27",Butia lallemantii,-55.3403679,-29.55113795,Embrapa - Pelotas
"28",Butia lallemantii,-55.16358201,-29.40082903,Embrapa - Pelotas
"29",Butia lallemantii,-55.28215192,-29.3571369,Embrapa - Pelotas
"30",Butia odorata,-51.489025,-30.896514,"Schlindwein, 2012"
"31",Butia odorata,-51.029678,-30.359368,"Lutkemeier, Brack, 2007"
"32",Butia odorata,-51.44379923,-30.85774332,Embrapa - Pelotas
"33",Butia odorata,-51.50995829,-30.97348101,Embrapa - Pelotas
"34",Butia odorata,-51.83926764,-30.27478869,Embrapa - Pelotas
"35",Butia odorata,-51.83089464,-30.31954048,Embrapa - Pelotas
"36",Butia odorata,-51.83375458,-30.37266436,Embrapa - Pelotas
"37",Butia odorata,-51.3044273,-30.25612385,Embrapa - Pelotas
"38",Butia odorata,-52.72009544,-30.50312712,Embrapa - Pelotas
"39",Butia odorata,-53.71977508,-32.11875334,Embrapa - Pelotas
"40",Butia odorata,-50.48052103,-30.28450435,Embrapa - Pelotas
"41",Butia odorata,-51.12020555,-30.04686451,Embrapa - Pelotas
"42",Butia odorata,-53.34786463,-33.4470749,Embrapa - Pelotas
"43",Butia odorata,-51.8668111,-30.26289474,Embrapa - Pelotas
"44",Butia odorata,-51.92583265,-30.41115445,Embrapa - Pelotas
"45",Butia odorata,-51.36097112,-30.52720322,Embrapa - Pelotas
"46",Butia odorata,-51.4262320337863,-30.6170061350576,Embrapa - Pelotas
"47",Butia odorata,-50.89385385,-30.15265696,Embrapa - Pelotas
"48",Butia odorata,-52.689331,-30.386667,Embrapa - Pelotas
"49",Butia odorata,-53.339142,-33.239729,Embrapa - Pelotas
"50",Butia paraguayensis ,-55.34689218,-29.04437746,Embrapa - Pelotas
"51",Butia witeckii,-54.011211,-29.379194,"Soares, 2013"
"52",Butia witeckii,-54.01648801,-29.40137249,Embrapa - Pelotas
"53",Butia yatay,-56.185028,-30.401694,HUCS 
"54",Butia yatay,-53.793861,-30.865528,HUCS 
"55",Butia yatay,-53.184167,-30.404722,"Soares, 2013"
"56",Butia yatay,-54.33409033,-28.07176133,Embrapa - Pelotas
"57",Butia yatay,-56.1704834,-30.39974903,Embrapa - Pelotas
"58",Butia eriospatha,-50.725,-27.185,"Santos, 2021"
"59",Butia eriospatha,-50.678,-27.193,"Santos, 2021"
"60",Butia eriospatha,-50.626,-27.211,"Santos, 2021"
"61",Butia eriospatha,-50.616,-27.194,"Santos, 2021"
"62",Butia eriospatha,-50.599,-27.144,"Santos, 2021"
"63",Butia eriospatha,-50.665,-27.058,"Santos, 2021"
"64",Butia eriospatha,-50.674,-27.081,"Santos, 2022"
"65",Butia odorata,-57.926601,-31.91345,Gov Uruguai
"66",Butia odorata,-57.730538,-31.85964,Gov Uruguai
"68",Butia odorata,-57.178338,-32.36806,Gov Uruguai
"67",Butia odorata,-54.088868,-34.32468,Gov Uruguai
"69",Butia odorata,-53.851135,-33.99616,Gov Uruguai
"70",Butia odorata,-53.869740,-33.65173,Gov Uruguai






