id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
4;El Cerro;Soriano;RP_GM;URG;-58.1369;-33.2615
5;Arroyo Negro;Paysandú;RP_GM;URG;-58.18886;-32.48799
6;Yaguareté;Río Negro;RP_GM;URG;-58.27454;-33.12453
7;Roman;Río Negro;RP_GM;URG;-58.08544;-32.83922
8;Pinguino;Río Negro;RP_GM;URG;-58.05291;-32.87991
9;La Yeguada;Río Negro;RP_GM;URG;-58.0412;-32.98644
10;Campo Morgan1 SO01;Soriano;RP_GM;URG;-58.34875;-33.3647
11;Puente;S_I;RP_GM;URG;-58.35463;-33.18331
12;Estructura monticular Cañada Saldaña;S_I;RP_GM;URG;-58.39138889;-33.70444444
13;Punta Pereira;S_I;RP_GM;URG;-58.17611111;-34.16888889
14;Isla del Medio y-71;S_I;RP_GM;URG;-58.10666667;-33.37722222
15;Isla de Arriba y-57;S_I;RP_GM;URG;-57.97124;-31.37789
16;Aruera;S_I;RP_GM;URG;-57.49111111;-31.35972222
