id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
723;Vacas_Gordas;Urubici;Proto_Je;SC;-49.666667;-28.133333
724;Pinheiro Preto II;Concórdia;Proto_Je;SC;-52.175;-27.266667
725;Icara ;Içara;Proto_Je;SC;-49.3;-28.71
726;Cel. Passos Maia;Passos Maia;Proto_Je;SC;-52.061;-26.782
727;Copetti;Urubici;Proto_Je;SC;-49.696;-27.9283
728;Morro do Avencal 1 (Urubici-01);Urubici;Proto_Je;SC;-49.6124;-28.0278
729;Rio Urubici (Urubici-4);Urubici;Proto_Je;SC;-49.5975;-28.0004
730;Anderman;Urubici;Proto_Je;SC;-49.5766;-27.9903
731;Aripol;Urubici;Proto_Je;SC;-49.5561;-28.0893
732;SC-CL-63;São José do Cerrito;Proto_Je;SC;-50.7188;-27.6013
733;SC-CL-51;São José do Cerrito;Proto_Je;SC;-50.6064;-27.6372
734;SC-CL-45;São José do Cerrito;Proto_Je;SC;-50.5975;-27.6405
735;Rincao dos Albinos ;São José do Cerrito;Proto_Je;SC;-50.6373;-27.5517
736;SC-CL-52;São José do Cerrito;Proto_Je;SC;-50.6111;-27.6368
737;SC-CL-50;São José do Cerrito;Proto_Je;SC;-50.6047;-27.6373
738;SC-CL-46;São José do Cerrito;Proto_Je;SC;-50.5993;-27.6414
739;SC-CL-94;São José do Cerrito;Proto_Je;SC;-50.5926;-27.6416
740;SC-CL-56;São José do Cerrito;Proto_Je;SC;-50.5919;-27.6407
741;SC-CL-43;São José do Cerrito;Proto_Je;SC;-50.5884;-27.6428
742;Induma - SC-TA-04;Taió;Proto_Je;SC;-49.96718119;-27.03703542
743;Campos de Lages;Lages;Proto_Je;SC;-50.32;-27.81
744;Giacomo Bagatini IV;Abdon Batista;Proto_Je;SC;-51.08689281;-27.55965802
745;Aristides Bortoli;Abdon Batista;Proto_Je;SC;-51.07800319;-27.53703942
746;Giacomo Bagatini III;Abdon Batista;Proto_Je;SC;-51.07214419;-27.56004563
747;Giacomo Bagatini II;Abdon Batista;Proto_Je;SC;-51.07164972;-27.56296188
748;Capao do indio;Abdon Batista;Proto_Je;SC;-51.07022169;-27.56915792
749;Giacomo Bagatini I;Abdon Batista;Proto_Je;SC;-51.0699824;-27.56948085
750;SPC.LT.SR.25;Abdon Batista;Proto_Je;SC;-51.06870548;-27.57458441
751;Edilio Manica;Abdon Batista;Proto_Je;SC;-51.05576973;-27.59071174
752;SPC.LT.SR.24;Abdon Batista;Proto_Je;SC;-51.03583693;-27.56439531
753;SPC.LT.SR.22;Abdon Batista;Proto_Je;SC;-51.02975833;-27.56248284
754;SPC.LT.SR.21;Abdon Batista;Proto_Je;SC;-51.0195064;-27.56026381
755;SPC.LT.SR.20;Abdon Batista;Proto_Je;SC;-51.01772351;-27.55992099
756;SPC.LT.SR.19;Abdon Batista;Proto_Je;SC;-51.00487882;-27.55600394
757;SPC.LT.SR.18;Abdon Batista;Proto_Je;SC;-50.97224536;-27.54245042
758;Volta Grande II;Abelardo Luz;Proto_Je;SC;-52.1617851;-26.68194667
759;Rio Caixao II;Alfredo Wagner;Proto_Je;SC;-49.4113859;-27.73461224
760;George Wagner;Alfredo Wagner;Proto_Je;SC;-49.3944123;-27.69953216
761;Jacó Schüller;Alfredo Wagner;Proto_Je;SC;-49.39394338;-27.7495197
762;Santilia Schimidt Wagner;Alfredo Wagner;Proto_Je;SC;-49.39264296;-27.71992764
763;Jairo Wagner;Alfredo Wagner;Proto_Je;SC;-49.38998605;-27.74612519
764;Jose Wagner I;Alfredo Wagner;Proto_Je;SC;-49.38587001;-27.74869462
765;Cilio Ataide de Barros;Anita Garibaldi;Proto_Je;SC;-51.2181584;-27.7154229
766;Darci Mota Sutil;Anita Garibaldi;Proto_Je;SC;-51.20330719;-27.72071764
767;Francisco Rodrigues Fermiano;Anita Garibaldi;Proto_Je;SC;-51.19991744;-27.71434907
768;Joao Maria Fernandes;Anita Garibaldi;Proto_Je;SC;-51.1836327;-27.76888224
769;Joao Roque Vingla IV;Anita Garibaldi;Proto_Je;SC;-51.1831433;-27.76753778
770;Joao Roque Vingla  VIII;Anita Garibaldi;Proto_Je;SC;-51.17982562;-27.76197212
771;Isaltino Freski I;Anita Garibaldi;Proto_Je;SC;-51.17446922;-27.79499274
772;Silvio Fernandes I;Anita Garibaldi;Proto_Je;SC;-51.16928994;-27.76088406
773;Vivaldino Fernandes da Silva;Anita Garibaldi;Proto_Je;SC;-51.0658582;-27.68631138
774;SC-ARA-063;Araranguá;Proto_Je;SC;-49.41968997;-28.91657172
775;Fazendinha 01;Biguaçu;Proto_Je;SC;-48.72168428;-27.4436841
776;Fazendinha 02;Biguaçu;Proto_Je;SC;-48.72113101;-27.44181922
777;Fazenda de Fora 01;Biguaçu;Proto_Je;SC;-48.70830349;-27.41036504
