id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
500;Itacoara;Joinville;Sambaqui;SC;-48.86158838;-26.40296055
501;Sambaqui Morro do Ouro;Joinville;Sambaqui;SC;-48.827155;-26.31437118
502;Sambaqui Forte Marechal Luz ;São Francisco do Sul;Sambaqui;SC;-48.53227547;-26.16548693
503;Sambaqui Ilhota 2;Ilhota;Sambaqui;SC;-48.82176827;-26.87088118
504;Sambaqui Balsinha I;Laguna;Sambaqui;SC;-48.801474;-28.359889
505;Pantano do Sul I;Florianópolis;Sambaqui;SC;-48.51;-27.78
506;Praia das Laranjeiras I;Balneario CamboriÃº;Sambaqui;SC;-48.593737;-26.996715
507;SC-ARA-050;Araranguá;Sambaqui;SC;-49.36374278;-28.93405991
508;Morro Agudo;Araranguá;Sambaqui;SC;-49.35539706;-28.9220825
509;SC-ARA-048;Araranguá;Sambaqui;SC;-49.35301023;-28.92772947
510;Barra do Ararangua;Araranguá;Sambaqui;SC;-49.34928177;-28.92998493
511;Fazenda dos Búfalos;Balneário Barra do Sul;Sambaqui;SC;-48.64721126;-26.46444077
512;Costeira;Balneário Barra do Sul;Sambaqui;SC;-48.63736933;-26.45686001
513;Sobral 1;Balneário Barra do Sul;Sambaqui;SC;-48.611185;-26.46735305
514;Sobral 2;Balneário Barra do Sul;Sambaqui;SC;-48.60972838;-26.46796941
515;Lagoa de Fora II;Balneário Gaivota;Sambaqui;SC;-49.61149155;-29.12766705
516;Picarras 1;Balneário Piçarras;Sambaqui;SC;-48.68455729;-26.76014421
517;Rio Itapocu;Barra Velha;Sambaqui;SC;-48.72048266;-26.60170753
518;Areias de Baixo II;Biguaçu;Sambaqui;SC;-48.605867;-27.400035
519;Sambaqui da Rua 13;Bombinhas;Sambaqui;SC;-48.50661439;-27.14431149
520;Ponta dos Limões I;Florianópolis;Sambaqui;SC;-48.54481321;-27.61648507
521;Ponta do Sambaqui;Florianópolis;Sambaqui;SC;-48.53848094;-27.49085271
522;Carianos II;Florianópolis;Sambaqui;SC;-48.53372783;-27.66547119
523;Ponta do Lessa I;Florianópolis;Sambaqui;SC;-48.526963;-27.57237027
524;Saco Grande I;Florianópolis;Sambaqui;SC;-48.51279694;-27.55399003
