id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
394;Ponto Suarez e Cardillo (2019) 9;Artigas;Aceramico;URG;-57.76661;-30.64977
395;Ponto Suarez e Cardillo (2019) 7;Artigas;Aceramico;URG;-57.6734;-30.42707
396;Ponto Suarez e Cardillo (2019) 5;Artigas;Aceramico;URG;-57.63285;-30.31892
397;Ponto Suarez e Cardillo (2019) 3;Artigas;Aceramico;URG;-57.6236;-30.21006
398;Ponto Suarez e Cardillo (2019) 6;Artigas;Aceramico;URG;-57.54889;-30.42849
399;Ponto Suarez e Cardillo (2019) 2;Artigas;Aceramico;URG;-57.45284;-30.26058
400;Ponto Suarez e Cardillo (2019) 1;Artigas;Aceramico;URG;-57.32903;-30.25666
401;Ponto Suarez e Cardillo (2019) 23;Canelones;Aceramico;URG;-55.76797;-34.25145
402;Ponto Suarez e Cardillo (2019) 28;Canelones;Aceramico;URG;-55.59579;-34.69401
403;Ponto Suarez e Cardillo (2019) 16;Cerro Largo;Aceramico;URG;-54.45808;-32.04292
404;Ponto Suarez e Cardillo (2019) 20;Colonia del Sacramento;Aceramico;URG;-57.38097;-33.95831
405;Ponto Suarez e Cardillo (2019) 80;Durazno;Aceramico;URG;-56.99258;-33.04708
406;Ponto Suarez e Cardillo (2019) 84;Durazno;Aceramico;URG;-56.86806;-32.82785
407;Ponto Suarez e Cardillo (2019) 79;Durazno;Aceramico;URG;-56.71464;-32.87098
408;Ponto Suarez e Cardillo (2019) 78;Durazno;Aceramico;URG;-56.65683;-32.89766
409;Ponto Suarez e Cardillo (2019) 77;Durazno;Aceramico;URG;-56.58924;-32.95014
410;Ponto Suarez e Cardillo (2019) 76;Durazno;Aceramico;URG;-56.55811;-32.86654
411;Ponto Suarez e Cardillo (2019) 75;Durazno;Aceramico;URG;-56.48518;-32.92079
412;Ponto Suarez e Cardillo (2019) 74;Durazno;Aceramico;URG;-56.34821;-32.87009
413;Ponto Suarez e Cardillo (2019) 96;Durazno;Aceramico;URG;-56.20858;-32.66464
414;Ponto Suarez e Cardillo (2019) 71;Durazno;Aceramico;URG;-56.09474;-32.77582
415;Ponto Suarez e Cardillo (2019) 68;Durazno;Aceramico;URG;-56.03604;-32.54724
