id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
103;Potrerillo;Rocha;Cerrito;URG;-54.435625;-34.457544
104;CH1E01;Rocha;Cerrito;URG;-54.286623;-34.498298
105;CH2D01;Rocha;Cerrito;URG;-54.280787;-34.523477
106;India Muerta;Rocha;Cerrito;URG;-54.25;-33.97
107;Punta Coronilla;Rocha;Cerrito;URG;-54.244738;-34.65095
108;Los Ajos;Rocha;Cerrito;URG;-53.9588;-33.7008
109;Cerro de la Viuda;Rocha;Cerrito;URG;-53.943;-33.607
110;Puntas de San Luis;Rocha;Cerrito;URG;-53.776058;-33.629221
111;Los Indios;Rocha;Cerrito;URG;-53.71;-33.94
112;San Miguel;Rocha;Cerrito;URG;-53.59;-33.73
113;C06;Rocha;Cerrito;URG;-53.72539;-33.767
114;Averias Cerrito 26;Rocha;Cerrito;URG;-53.72073;-33.7469
115;Averias Cerrito 24;Rocha;Cerrito;URG;-53.72069;-33.74622
116;Averías Cerrito 22;Rocha;Cerrito;URG;-53.7206;-33.74648
117;Averias Cerrito 21;Rocha;Cerrito;URG;-53.72052;-33.74664
118;Averias Cerrito 25;Rocha;Cerrito;URG;-53.72039;-33.74602
119;Averias Cerrito 23;Rocha;Cerrito;URG;-53.72038;-33.74632
120;Averias Cerrito 20;Rocha;Cerrito;URG;-53.71955;-33.74645
121;Averias Cerrito 36;Rocha;Cerrito;URG;-53.71823;-33.74493
122;Averías Cerrito 3;Rocha;Cerrito;URG;-53.71074;-33.78775
123;Averias Cerrito 2;Rocha;Cerrito;URG;-53.7105;-33.78871
124;C30;Rocha;Cerrito;URG;-53.71034;-33.76756
125;C29;Rocha;Cerrito;URG;-53.71015;-33.79405
126;C08;Rocha;Cerrito;URG;-53.70571;-33.77796
127;C13;Rocha;Cerrito;URG;-53.70464;-33.78232
128;Averias Cerrito 1;Rocha;Cerrito;URG;-53.70227;-33.79921
129;C05;Rocha;Cerrito;URG;-53.70131;-33.75412
130;Averías Cerrito 32;Rocha;Cerrito;URG;-53.69664;-33.77878
131;Averias Cerrito 31;Rocha;Cerrito;URG;-53.69635;-33.78461
132;C14;Rocha;Cerrito;URG;-53.69634;-33.78462
133;C09;Rocha;Cerrito;URG;-53.69626;-33.77836
134;C10;Rocha;Cerrito;URG;-53.6952;-33.7753
135;Abra Cerrito 5;Rocha;Cerrito;URG;-53.69474;-33.74016
136;Averias Cerrito 35;Rocha;Cerrito;URG;-53.69454;-33.7754
137;Abra Cerrito 1;Rocha;Cerrito;URG;-53.6943;-33.73911
138;Abra Cerrito 4;Rocha;Cerrito;URG;-53.69427;-33.73996
139;Abra Cerrito 2;Rocha;Cerrito;URG;-53.69384;-33.73935
140;Abra Cerrito 3;Rocha;Cerrito;URG;-53.69343;-33.73969
141;C19;Rocha;Cerrito;URG;-53.68971;-33.76659
142;C11;Rocha;Cerrito;URG;-53.68725;-33.76761
143;C12;Rocha;Cerrito;URG;-53.68507;-33.75665
144;C04;Rocha;Cerrito;URG;-53.68299;-33.75119
