"id","nome","Municipio","Classificação.autora","UF","decimallon","decimallat"
"1","Potrerillo","Rocha","Cerrito","URG",-54.435625, -34.457544
"2","CH1E01","Rocha","Cerrito","URG",-54.286623, -34.498298
"3","CH2D01","Rocha","Cerrito","URG",-54.280787, -34.523477
"4","India Muerta","Rocha","Cerrito","URG",-54.25, -33.97
"5","Punta Coronilla","Rocha","Cerrito","URG",-54.244738, -34.65095
"6","Los Ajos","Rocha","Cerrito","URG",-53.9588, -33.7008
"7","Cerro de la Viuda","Rocha","Cerrito","URG",-53.943, -33.607
"8","Puntas de San Luis","Rocha","Cerrito","URG",-53.776058, -33.629221
"9","Los Indios","Rocha","Cerrito","URG",-53.71, -33.94
"10","San Miguel","Rocha","Cerrito","URG",-53.59, -33.73
"11","C06","Rocha","Cerrito","URG",-53.72539, -33.767
"12","Averias Cerrito 26","Rocha","Cerrito","URG",-53.72073, -33.7469
"20","Averías Cerrito 3","Rocha","Cerrito","URG",-53.71074, -33.78775
"22","C30","Rocha","Cerrito","URG",-53.71034, -33.76756
"24","C08","Rocha","Cerrito","URG",-53.70571, -33.77796
"26","Averias Cerrito 1","Rocha","Cerrito","URG",-53.70227, -33.79921
"27","C05","Rocha","Cerrito","URG",-53.70131, -33.75412
"29","Averias Cerrito 31","Rocha","Cerrito","URG",-53.69635, -33.78461
"32","C10","Rocha","Cerrito","URG",-53.6952, -33.7753
"33","Abra Cerrito 5","Rocha","Cerrito","URG",-53.69474, -33.74016
"39","C19","Rocha","Cerrito","URG",-53.68971, -33.76659
"41","C12","Rocha","Cerrito","URG",-53.68507, -33.75665
"44","C33","Rocha","Cerrito","URG",-53.6766, -33.78158
"45","C31","Rocha","Cerrito","URG",-53.67493, -33.79413
"46","Abra 2 Cerrito 2","Rocha","Cerrito","URG",-53.66919, -33.73499
"47","Averías Cerrito 5","Rocha","Cerrito","URG",-53.66899, -33.74548
"55","C32","Rocha","Cerrito","URG",-53.66235, -33.80025
"56","C24","Rocha","Cerrito","URG",-53.66152, -33.75456
"57","C15","Rocha","Cerrito","URG",-53.66047, -33.77561
"58","C37","Rocha","Cerrito","URG",-53.65629, -33.8083
"59","Averias Cerrito 11","Rocha","Cerrito","URG",-53.65448, -33.73888
"63","Averias Cerrito 29","Rocha","Cerrito","URG",-53.64617, -33.74704
"64","C38","Rocha","Cerrito","URG",-53.64567, -33.81171
"67","C36","Rocha","Cerrito","URG",-53.64483, -33.77244
"69","Averias Cerrito 27","Rocha","Cerrito","URG",-53.63626, -33.7407
"70","Abra 3 Cerrito 02","Rocha","Cerrito","URG",-53.63395, -33.72994
"72","C34","Rocha","Cerrito","URG",-53.6302, -33.79204
"74","C39","Rocha","Cerrito","URG",-53.6274, -33.81512
"76","Corral Piedra 2","Rocha","Cerrito","URG",-53.61398, -33.72495
"77","Corral Piedra","Rocha","Cerrito","URG",-53.60019, -33.76237
"79","Averias Cerrito 37","Rocha","Cerrito","URG",-53.59296, -33.74266
"84","Averias Cerrito 13","Rocha","Cerrito","URG",-53.58175, -33.7436
"85","Averias Cerrito 18","Rocha","Cerrito","URG",-53.57011, -33.74185
"87","Averias Cerrito 12","Rocha","Cerrito","URG",-53.5577, -33.73762
"88","Los Indios C","Rocha","Cerrito","URG",-53.72058, -33.90173
"89","arroyo de los Indios D","Rocha","Cerrito","URG",-53.70196, -33.88568
"90","Camino del Indio A","Rocha","Cerrito","URG",-53.69985, -33.90358
"91","arroyo de los Indios E","Rocha","Cerrito","URG",-53.6967, -33.86421
"92","Rincón de los Indios","Rocha","Cerrito","URG",-53.6963, -33.92154
"94","arroyo de los Indios F","Rocha","Cerrito","URG",-53.68217, -33.85302
"95","Rincón de la Tuna C","Rocha","Cerrito","URG",-53.68127, -33.87844
"96","arroyo de los Indios C","Rocha","Cerrito","URG",-53.68109, -33.92748
"98","Cerro de los Indios B","Rocha","Cerrito","URG",-53.67827, -33.91263
"103","arroyo de los Indios B","Rocha","Cerrito","URG",-53.66869, -33.92824
"104","Cerro de los Indios E","Rocha","Cerrito","URG",-53.6663, -33.91129
"105","Rincón de la Tuna B","Rocha","Cerrito","URG",-53.66473, -33.88012
"106","Camino del Indio B","Rocha","Cerrito","URG",-53.66462, -33.89617
"107","arroyo de los IndiosG","Rocha","Cerrito","URG",-53.66222, -33.85246
"108","Punto Geodésico H","Rocha","Cerrito","URG",-53.65614, -33.88739
"111","Punto Geodésico G","Rocha","Cerrito","URG",-53.64402, -33.88827
"112","Rincón Silvestre B","Rocha","Cerrito","URG",-53.64111, -33.94072
"113","Potrerillo A","Rocha","Cerrito","URG",-53.6404, -33.9582
"114","Rincón Silvestre A","Rocha","Cerrito","URG",-53.63888, -33.92745
"115","Potrerillo B","Rocha","Cerrito","URG",-53.63513, -33.97592
"116","Punto Geodésico E","Rocha","Cerrito","URG",-53.63413, -33.88393
"117","San Martin D","Rocha","Cerrito","URG",-53.63169, -33.85098
"119","Camino del Indio C","Rocha","Cerrito","URG",-53.63131, -33.91001
"121","Casa Nutriero","Rocha","Cerrito","URG",-53.6264, -33.89375
"123","Rincón Silvestre E","Rocha","Cerrito","URG",-53.61902, -33.92699
"124","San Martin A","Rocha","Cerrito","URG",-53.6182, -33.8472
"125","Camino del Indio E","Rocha","Cerrito","URG",-53.61738, -33.90256
"126","Bañado de las Maravillas K","Rocha","Cerrito","URG",-53.61556, -33.87687
"128","Camino del Indio D","Rocha","Cerrito","URG",-53.61264, -33.91107
"129","Cambara","Rocha","Cerrito","URG",-53.61112, -33.83657
"130","Rincón Silvestre F","Rocha","Cerrito","URG",-53.61003, -33.9204
"131","Bañado de la Maravillas J","Rocha","Cerrito","URG",-53.609, -33.88569
"136","Bañado de las Maravillas G","Rocha","Cerrito","URG",-53.60476, -33.89798
"137","arroyo de Los Indios A","Rocha","Cerrito","URG",-53.60022, -33.92549
"138","Bañado de las Maravillas D","Rocha","Cerrito","URG",-53.59225, -33.91013
"140","Cerro aislado","Rocha","Cerrito","URG",-53.56956, -33.91929
"141","Laguna del Bicho","Rocha","Cerrito","URG",-53.55834, -33.93079
"142","Aduana","Rocha","Cerrito","URG",-53.53951, -33.91739
"143","Laguna Jacinta A","Tacuarembó","Cerrito","URG",-55.41298, -32.0865
"144","Picada del Ballo A","Tacuarembó","Cerrito","URG",-55.41258, -32.13265
"145","Picada del Ballo B","Tacuarembó","Cerrito","URG",-55.41206, -32.1227
"146","Laguna Jacinta B","Tacuarembó","Cerrito","URG",-55.40399, -32.10038
"148","Paso Cuello A","Tacuarembó","Cerrito","URG",-55.3794, -32.01855
"149","Entrevero A","Tacuarembó","Cerrito","URG",-55.37112, -31.98983
"150","Paso Cuello B","Tacuarembó","Cerrito","URG",-55.371, -32.00629
"151","Paso de los Ladrones I","Tacuarembó","Cerrito","URG",-55.3648, -32.25897
"154","Cañada de los Caponcitos A","Tacuarembó","Cerrito","URG",-55.35987, -31.95662
"156","Laguna de Capón A","Tacuarembó","Cerrito","URG",-55.35697, -31.97031
"157","Paso de los Ladrones A","Tacuarembó","Cerrito","URG",-55.35664, -32.24106
"160","Paso de los Ladrones E","Tacuarembó","Cerrito","URG",-55.35063, -32.25762
"161","Paso de los Ladrones B","Tacuarembó","Cerrito","URG",-55.34444, -32.23786
"164","Lemos A","Tacuarembó","Cerrito","URG",-55.341, -31.94466
"165","Paso de los Ladrones F","Tacuarembó","Cerrito","URG",-55.33912, -32.2616
"166","Cañada del Sauce C","Tacuarembó","Cerrito","URG",-55.33864, -31.91842
"168","Lemos B","Tacuarembó","Cerrito","URG",-55.33409, -31.95231
"170","Cañada del Sauce A","Tacuarembó","Cerrito","URG",-55.33048, -31.93046
"171","Caldas B","Tacuarembó","Cerrito","URG",-55.32917, -31.9884
"172","Rios","Tacuarembó","Cerrito","URG",-55.3258, -31.91942
"173","Caraguatá H","Tacuarembó","Cerrito","URG",-55.32129, -32.26038
"174","Caldas A","Tacuarembó","Cerrito","URG",-55.31586, -31.99253
"175","Caraguatá F","Tacuarembó","Cerrito","URG",-55.31269, -32.24957
"176","Lussich A","Tacuarembó","Cerrito","URG",-55.31218, -31.92065
"177","Caldas C","Tacuarembó","Cerrito","URG",-55.31177, -32.00218
"179","Ávila","Tacuarembó","Cerrito","URG",-55.30731, -32.23697
"180","Pacheco A","Tacuarembó","Cerrito","URG",-55.30559, -31.98353
"181","Lussich B","Tacuarembó","Cerrito","URG",-55.30462, -31.91304
"182","Pacheco B","Tacuarembó","Cerrito","URG",-55.30382, -31.97419
"183","Alvez B","Tacuarembó","Cerrito","URG",-55.2937, -31.90916
"184","Pacheco C","Tacuarembó","Cerrito","URG",-55.29304, -31.97935
"185","Ñandubay A","Tacuarembó","Cerrito","URG",-55.29017, -31.96833
"187","Ñandubay B","Tacuarembó","Cerrito","URG",-55.28822, -31.95614
"188","Monte","Tacuarembó","Cerrito","URG",-55.28764, -31.92533
"190","Cañada del Espinillo","Tacuarembó","Cerrito","URG",-55.2792, -32.2518
"192","Ñandubay D","Tacuarembó","Cerrito","URG",-55.27642, -31.95384
"193","Da Rosa C","Tacuarembó","Cerrito","URG",-55.27571, -31.89681
"195","Caraguatá B","Tacuarembó","Cerrito","URG",-55.27233, -32.24374
"197","Ñandubay F","Tacuarembó","Cerrito","URG",-55.26635, -31.95054
"198","Ñandubay E","Tacuarembó","Cerrito","URG",-55.26628, -31.96517
"200","La Concesión A","Tacuarembó","Cerrito","URG",-55.26057, -32.27238
"201","Caraguatá C","Tacuarembó","Cerrito","URG",-55.25612, -32.23983
"202","Ñandubay H","Tacuarembó","Cerrito","URG",-55.25312, -31.94232
"206","La Concesión B","Tacuarembó","Cerrito","URG",-55.24535, -32.27292
"208","Alzogaray A","Tacuarembó","Cerrito","URG",-55.23858, -32.24076
"209","La Concesión D","Tacuarembó","Cerrito","URG",-55.23451, -32.27099
"211","Alzogaray B","Tacuarembó","Cerrito","URG",-55.22455, -32.24257
"212","La Concesión F","Tacuarembó","Cerrito","URG",-55.21834, -32.27178
"213","Caraguatá I","Tacuarembó","Cerrito","URG",-55.20251, -32.23516
"214","El Tala D","Tacuarembó","Cerrito","URG",-55.18563, -32.26991
"215","Caraguatá J","Tacuarembó","Cerrito","URG",-55.18023, -32.2363
"216","El Tala B","Tacuarembó","Cerrito","URG",-55.17519, -32.25114
"218","El Tala A","Tacuarembó","Cerrito","URG",-55.16227, -32.25168
"219","Paso del Sauce","Tacuarembó","Cerrito","URG",-55.15274, -32.2376
"220","Cuchilla de Pereira D","Tacuarembó","Cerrito","URG",-55.1348, -32.2035
"221","Cuchilla de Pereira A","Tacuarembó","Cerrito","URG",-55.13384, -32.18742
"223","Pago Lindo D","Tacuarembó","Cerrito","URG",-55.12999, -32.22995
"224","Cerro Pereira B","Tacuarembó","Cerrito","URG",-55.12662, -32.28328
"225","Cerro de las Crías B","Tacuarembó","Cerrito","URG",-55.12653, -32.23987
"229","Pago Lindo B","Tacuarembó","Cerrito","URG",-55.12099, -32.22087
"230","Cerro Pereira A","Tacuarembó","Cerrito","URG",-55.11813, -32.29277
"232","Cerro de las Crías A","Tacuarembó","Cerrito","URG",-55.11504, -32.23657
"233","Pago Lindo C","Tacuarembó","Cerrito","URG",-55.10909, -32.2202
"237","RS-RG-21","Rio Grande","Cerrito","RS",-52.476115, -32.103422
"238","RS-RG-48","Rio Grande","Cerrito","RS",-52.268983, -31.825365
"239","Fazenda Pesqueiro NPHC 13","Camaquã","Cerrito","RS",-51.778409, -30.922241
"241","RS-272: Roni da Costa Kisner","Camaquã","Cerrito","RS",-51.708239, -30.919992
"242","RS-271 B: Fazenda da Vigia 2","Camaquã","Cerrito","RS",-51.701921, -30.933281
"243","RS-273: Fazenda da Capoeira","Camaquã","Cerrito","RS",-51.685229, -30.970518
"244","RS-271 A: Fazenda da Vigia 1 (1º","Camaquã","Cerrito","RS",-51.680488, -30.922144
"245","Lagoa do Fragata 06","Capão do Leão","Cerrito","RS",-52.40297083, -31.80621083
"248","PSGLF-1","Capão do Leão","Cerrito","RS",-52.39280177, -31.80219507
"251","RS-MSG-112 - CARLOS OSCAR BORGES DOS SANTOS","Chuí","Cerrito","RS",-53.44141466, -33.63376501
"252","RS-MSG-097 MARILIA ANSELMI CORREA","Chuí","Cerrito","RS",-53.43112731, -33.72130815
"255","RS-MSG-111 ARROIO CHUi","Chuí","Cerrito","RS",-53.41328478, -33.65780503
"256","RS-260: Granja Emilia","Cristal do Sul","Cerrito","RS",-51.8787, -30.925181
"257","RS-VVM-001","Dilermando de Aguiar","Cerrito","RS",-54.11334308, -29.83097905
"258","Stela Rodrigues 2","Dom Pedrito","Cerrito","RS",-54.34333192, -31.18108615
"259","RS-IBI-048","Itaqui","Cerrito","RS",-56.06504438, -29.32432781
"260","Jose Pereira Leandro","Mostardas","Cerrito","RS",-50.8175, -30.92444444
"261","Valverde 4","Pelotas","Cerrito","RS",-52.24122192, -31.77908123
"268","Valverde 10","Pelotas","Cerrito","RS",-52.23289187, -31.78562131
"273","Sitio do Areal 1","Quaraí","Cerrito","RS",-56.2230338, -30.45960065
"274","RS-MSG-117","Rio Grande","Cerrito","RS",-52.57967577, -32.5209574
"275","Paulina Potanova","Rio Grande","Cerrito","RS",-52.5, -32.5
"276","RS-MSG-116","Rio Grande","Cerrito","RS",-52.34701948, -31.93577787
"277","RS-MSG-115","Rio Grande","Cerrito","RS",-52.34086917, -31.99590323
"278","RS-23: Valpirio Mendes Borges","Rio Grande","Cerrito","RS",-52.27808333, -31.86477778
"279","Quiteria Barreira 3 - 02","Rio Grande","Cerrito","RS",-52.24263881, -32.01172471
"280","Quiteria Barreira 3 - 01","Rio Grande","Cerrito","RS",-52.19536336, -32.00985167
"281","RS MSG 068 branca shirley piraine dos santos II","Santa Vitória do Palmar","Cerrito","RS",-53.32065004, -33.53411344
"284","RS-MSG-091 francisco flório X","Santa Vitória do Palmar","Cerrito","RS",-53.31176017, -33.58313222
"289","RS-MSG-021 - EDELFONSO RODRIGUES","Santa Vitória do Palmar","Cerrito","RS",-53.30942134, -33.53374639
"293","RS-MSG-017 - MARCEL DE OLIVEIRA IV","Santa Vitória do Palmar","Cerrito","RS",-53.29162752, -33.55141633
"296","RS-MSG-092 TAPERA II","Santa Vitória do Palmar","Cerrito","RS",-53.26976309, -33.50392189
