"id","nome","Municipio","Classificação.autora","UF","decimallon","decimallat"
"1","El Cerro","Soriano","RP_GM","URG",-58.1369, -33.2615
"2","Arroyo Negro","Paysandú","RP_GM","URG",-58.18886, -32.48799
"3","Yaguareté","Río Negro","RP_GM","URG",-58.27454, -33.12453
"4","Roman","Río Negro","RP_GM","URG",-58.08544, -32.83922
"5","Pinguino","Río Negro","RP_GM","URG",-58.05291, -32.87991
"6","La Yeguada","Río Negro","RP_GM","URG",-58.0412, -32.98644
"7","Campo Morgan1 SO01","Soriano","RP_GM","URG",-58.34875, -33.3647
"8","Puente","S_I","RP_GM","URG",-58.35463, -33.18331
"9","Estructura monticular Cañada Saldaña","S_I","RP_GM","URG",-58.39138889, -33.70444444
"10","Punta Pereira","S_I","RP_GM","URG",-58.17611111, -34.16888889
"11","Isla del Medio y-71","S_I","RP_GM","URG",-58.10666667, -33.37722222
"12","Isla de Arriba y-57","S_I","RP_GM","URG",-57.97124, -31.37789
"13","Aruera","S_I","RP_GM","URG",-57.49111111, -31.35972222
