"id","nome","Municipio","Classificação.autora","UF","decimallon","decimallat"
"1","El Arbolito","Colonia del Sacramento","Guarani","URG",-58.26, -34.127
"2","Isla Vizcaino","Río Negro","Guarani","URG",-58.38041, -33.40143
"3","Yaguareté","(copiado","Guarani","URG",-58.27454, -33.12453
"4","Punta Negra Este","Río Negro","Guarani","URG",-58.23621, -33.10343
"5","Itapiranga","Itapiranga","Guarani","SC",-53.75, -27.183333
"6","Sao Carlos","Águas de Chapecó","Guarani","SC",-53.016667, -27.1
"7","Barra escondida 1","Mondaí","Guarani","SC",-53.433333, -27.133333
"8","Joao A. Guarantier","Volta Grande","Guarani","SC",-53.033333, -27.083333
"9","Linha Lampari","Águas de Chapecó","Guarani","SC",-53.0401163, -27.12965604
"14","Linha Policia 6 ACH LP 6","Águas de Chapecó","Guarani","SC",-53.03140784, -27.11942153
"16","Armindo Pohlmann","Alto Bela Vista","Guarani","SC",-51.97608378, -27.39429036
"17","Andre Davidiuk Malazkiewicz II","Alto Bela Vista","Guarani","SC",-51.96599797, -27.36957145
"18","Paulino Merib","Alto Bela Vista","Guarani","SC",-51.95460141, -27.47064759
"19","Andre Davidiuk Malazkiewicz","Alto Bela Vista","Guarani","SC",-51.94101067, -27.46605494
"20","Gaudêncio Machado","Alto Bela Vista","Guarani","SC",-51.93985515, -27.45032816
"22","Antonio Dilson Castro","Alto Bela Vista","Guarani","SC",-51.92753821, -27.44643868
"23","Adalicio Fischer I","Alto Bela Vista","Guarani","SC",-51.89944958, -27.48392387
"24","Victor Paulino Rech","Alto Bela Vista","Guarani","SC",-51.89899975, -27.44345714
"25","Rui Sargafredo","Alto Bela Vista","Guarani","SC",-51.89799864, -27.49971299
"27","U-381: Batista Recttor","Alto Bela Vista","Guarani","SC",-51.89055393, -27.42997028
"28","Marlene Maria Rodrigues","Alto Bela Vista","Guarani","SC",-51.88653898, -27.51868065
"30","Sirio Lohamann","Alto Bela Vista","Guarani","SC",-50.86911767, -27.52221199
"31","Barranca do rio Parati 2","Araquari","Guarani","SC",-48.70878597, -26.35843833
"32","SC-ARA-058","Araranguá","Guarani","SC",-49.46070881, -28.90738185
"33","SC-ARA-060","Araranguá","Guarani","SC",-49.45090289, -28.91230498
"34","SC-ARA-061","Araranguá","Guarani","SC",-49.42105045, -28.91816692
"35","Aldeia Levandoski","Araranguá","Guarani","SC",-49.38194667, -28.90990578
"36","Aldeia da Balsa","Araranguá","Guarani","SC",-49.37534774, -28.92663829
"37","SC-ARA-049","Araranguá","Guarani","SC",-49.36438453, -28.9395724
"39","SC-ARA-055","Araranguá","Guarani","SC",-49.35444948, -28.91908396
"40","Campo Mae Luiza 008","Araranguá","Guarani","SC",-49.35359663, -28.89580039
"43","SC-ARA-031 - Barra do Ararangua","Araranguá","Guarani","SC",-49.349282, -28.929985
"45","Campo Mae Luiza 011","Araranguá","Guarani","SC",-49.34526804, -28.88946269
"47","Ilha do Linguado 2","Balneário Barra do Sul","Guarani","SC",-48.66332466, -26.36342531
"48","Santo Antônio","Balneário Piçarras","Guarani","SC",-48.685818, -26.748839
"49","Landim","Caibi","Guarani","SC",-53.30516509, -27.1206896
"51","Joao Barufaldi","Caibi","Guarani","SC",-53.28718724, -27.11989172
"52","SC-CH-119","Chapecó","Guarani","SC",-52.76080263, -27.24257822
"54","SC-CH-173","Chapecó","Guarani","SC",-52.75800537, -27.22779301
"57","SC-CH-184","Chapecó","Guarani","SC",-52.75120803, -27.23732821
"58","SC-CH-134","Chapecó","Guarani","SC",-52.74669874, -27.25764752
"59","SC-CH-165","Chapecó","Guarani","SC",-52.73780992, -27.23671891
"60","SC-CH-194","Chapecó","Guarani","SC",-52.72068631, -27.23400886
"61","SC-CH-158","Chapecó","Guarani","SC",-52.70415111, -27.25312662
"62","SC-CH-142","Chapecó","Guarani","SC",-52.69368026, -27.28191111
"65","Guilherme Jaeger C (Reducao de Candelaria","Chapecó","Guarani","SC",-52.61519843, -27.10045517
"66","Navilho Zucchi","Concórdia","Guarani","SC",-52.24683464, -27.27935353
"67","Edvino Thome","Concórdia","Guarani","SC",-52.23526568, -27.27467185
"68","Darci Fernandes da Silva","Concórdia","Guarani","SC",-52.2304634, -27.2637707
"69","Santo Alberti","Concórdia","Guarani","SC",-52.21519242, -27.32709336
"70","Pedro Talkovsky","Concórdia","Guarani","SC",-52.09260392, -27.34545863
"71","Arlindo Schneider IV","Concórdia","Guarani","SC",-52.0126216, -27.35840823
"72","Leopoldo Holhn","Concórdia","Guarani","SC",-52.00095058, -27.37205396
"74","Dallagnoll","Cunha Porã","Guarani","SC",-53.16733685, -26.89102982
"75","Costeira de Pirajubae","Florianópolis","Guarani","SC",-48.52025034, -27.64607632
