"id","nome","Municipio","Classificação.autora","UF","decimallon","decimallat"
"1","Vacas_Gordas","Urubici","Proto_Je","SC",-49.666667, -28.133333
"2","Pinheiro Preto II","Concórdia","Proto_Je","SC",-52.175, -27.266667
"3","Icara ","Içara","Proto_Je","SC",-49.3, -28.71
"4","Cel. Passos Maia","Passos Maia","Proto_Je","SC",-52.061, -26.782
"5","Copetti","Urubici","Proto_Je","SC",-49.696, -27.9283
"6","Morro do Avencal 1 (Urubici-01","Urubici","Proto_Je","SC",-49.6124, -28.0278
"7","Rio Urubici (Urubici-4","Urubici","Proto_Je","SC",-49.5975, -28.0004
"8","Anderman","Urubici","Proto_Je","SC",-49.5766, -27.9903
"9","Aripol","Urubici","Proto_Je","SC",-49.5561, -28.0893
"10","SC-CL-63","São José do Cerrito","Proto_Je","SC",-50.7188, -27.6013
"11","SC-CL-51","São José do Cerrito","Proto_Je","SC",-50.6064, -27.6372
"13","Rincao dos Albinos ","São José do Cerrito","Proto_Je","SC",-50.6373, -27.5517
"17","SC-CL-94","São José do Cerrito","Proto_Je","SC",-50.5926, -27.6416
"20","Induma - SC-TA-04","Taió","Proto_Je","SC",-49.96718119, -27.03703542
"21","Campos de Lages","Lages","Proto_Je","SC",-50.32, -27.81
"22","Giacomo Bagatini IV","Abdon Batista","Proto_Je","SC",-51.08689281, -27.55965802
"23","Aristides Bortoli","Abdon Batista","Proto_Je","SC",-51.07800319, -27.53703942
"24","Giacomo Bagatini III","Abdon Batista","Proto_Je","SC",-51.07214419, -27.56004563
"26","Capao do indio","Abdon Batista","Proto_Je","SC",-51.07022169, -27.56915792
"29","Edilio Manica","Abdon Batista","Proto_Je","SC",-51.05576973, -27.59071174
"30","SPC.LT.SR.24","Abdon Batista","Proto_Je","SC",-51.03583693, -27.56439531
"32","SPC.LT.SR.21","Abdon Batista","Proto_Je","SC",-51.0195064, -27.56026381
"34","SPC.LT.SR.19","Abdon Batista","Proto_Je","SC",-51.00487882, -27.55600394
"35","SPC.LT.SR.18","Abdon Batista","Proto_Je","SC",-50.97224536, -27.54245042
"36","Volta Grande II","Abelardo Luz","Proto_Je","SC",-52.1617851, -26.68194667
"37","Rio Caixao II","Alfredo Wagner","Proto_Je","SC",-49.4113859, -27.73461224
"38","George Wagner","Alfredo Wagner","Proto_Je","SC",-49.3944123, -27.69953216
"39","Jacó Schüller","Alfredo Wagner","Proto_Je","SC",-49.39394338, -27.7495197
"40","Santilia Schimidt Wagner","Alfredo Wagner","Proto_Je","SC",-49.39264296, -27.71992764
"43","Cilio Ataide de Barros","Anita Garibaldi","Proto_Je","SC",-51.2181584, -27.7154229
"44","Darci Mota Sutil","Anita Garibaldi","Proto_Je","SC",-51.20330719, -27.72071764
"46","Joao Maria Fernandes","Anita Garibaldi","Proto_Je","SC",-51.1836327, -27.76888224
"49","Isaltino Freski I","Anita Garibaldi","Proto_Je","SC",-51.17446922, -27.79499274
"50","Silvio Fernandes I","Anita Garibaldi","Proto_Je","SC",-51.16928994, -27.76088406
"51","Vivaldino Fernandes da Silva","Anita Garibaldi","Proto_Je","SC",-51.0658582, -27.68631138
"52","SC-ARA-063","Araranguá","Proto_Je","SC",-49.41968997, -28.91657172
"53","Fazendinha 01","Biguaçu","Proto_Je","SC",-48.72168428, -27.4436841
"55","Fazenda de Fora 01","Biguaçu","Proto_Je","SC",-48.70830349, -27.41036504
"56","SC-CL-8","Bocaina do Sul","Proto_Je","SC",-49.91629555, -27.79207864
"57","SC-CL-7","Bocaina do Sul","Proto_Je","SC",-49.88402132, -27.74004498
"58","Lages I","Bocaina do Sul","Proto_Je","SC",-49.84228864, -27.74630947
"59","Reunidas IV","Bom Retiro do Sul","Proto_Je","SC",-49.52764801, -27.84577955
"60","Reunidas III","Bom Retiro do Sul","Proto_Je","SC",-49.50026231, -27.84944689
"61","Reunidas I","Bom Retiro do Sul","Proto_Je","SC",-49.48882423, -27.87389904
"62","Reunidas VII","Bom Retiro do Sul","Proto_Je","SC",-49.46337816, -27.87269718
"63","Reunidas VI","Bom Retiro do Sul","Proto_Je","SC",-49.46077064, -27.89261469
"64","Reunidas V","Bom Retiro do Sul","Proto_Je","SC",-49.44840595, -27.89772891
"66","SPC.UHE.SR.01","Brunópolis","Proto_Je","SC",-50.81108232, -27.43226538
"67","Sebastiao Costa","Campo Belo do Sul","Proto_Je","SC",-50.83443415, -27.70487926
"69","Helio Camargo","Campo Belo do Sul","Proto_Je","SC",-50.82926106, -27.69191828
"71","Joao da Silva 2","Campo Belo do Sul","Proto_Je","SC",-50.82000491, -27.73928364
"73","Airton Ribeiro 1","Campo Belo do Sul","Proto_Je","SC",-50.81847749, -27.71196403
"76","Juvenil Moraes","Campo Belo do Sul","Proto_Je","SC",-50.81317445, -27.64515206
"77","Luis Carlos 3","Campo Belo do Sul","Proto_Je","SC",-50.80320197, -27.73404279
"78","Cassiano Matos","Campo Belo do Sul","Proto_Je","SC",-50.80075698, -27.65576041
"80","Plinio Luerce","Campo Belo do Sul","Proto_Je","SC",-50.79681992, -27.64658253
"82","Davi & Sebastiao","Campo Belo do Sul","Proto_Je","SC",-50.79162257, -27.73032452
"86","Valmor Baggio 6","Campo Belo do Sul","Proto_Je","SC",-50.78255482, -27.6933785
"88","Carlos Rossetto","Campo Belo do Sul","Proto_Je","SC",-50.77978615, -27.66298696
"90","Alceu de Oliveira 2","Campo Belo do Sul","Proto_Je","SC",-50.77924039, -27.6368689
"93","Valmor Baggio 4","Campo Belo do Sul","Proto_Je","SC",-50.76809642, -27.68663847
"94","Antônio Branco","Campo Belo do Sul","Proto_Je","SC",-50.76412281, -27.64328981
"97","Ernani Garcia","Campo Belo do Sul","Proto_Je","SC",-50.75815109, -27.6713015
"98","Celio Marques","Campo Belo do Sul","Proto_Je","SC",-50.75482397, -27.70816461
"99","Reni Camargo","Campo Belo do Sul","Proto_Je","SC",-50.75185771, -27.73699352
"100","Abreu e Garcia 2","Campo Belo do Sul","Proto_Je","SC",-50.74428568, -27.66870372
"102","Milton da Silva","Campo Belo do Sul","Proto_Je","SC",-50.74311315, -27.69747271
"103","Ernani Garcia 3","Campo Belo do Sul","Proto_Je","SC",-50.73967299, -27.67689226
"104","Travessao","Campo Belo do Sul","Proto_Je","SC",-50.73000284, -27.6505671
"105","Grande Morada","Campo Belo do Sul","Proto_Je","SC",-50.67085764, -27.90682941
"106","Vilmar Vieira Branco","Campos Novos","Proto_Je","SC",-51.48545316, -27.53875956
"107","Dirceu Carneiro","Campos Novos","Proto_Je","SC",-51.45194547, -27.53741004
"108","Banhado Seco I","Capão Alto","Proto_Je","SC",-50.53489553, -27.901608
"110","SC-CL-19","Capão Alto","Proto_Je","SC",-50.52018315, -27.93360422
"112","Aroeira","Capão Alto","Proto_Je","SC",-50.37442327, -27.93295603
"113","Otacilia Mendes","Celso Ramos","Proto_Je","SC",-51.33585503, -27.66095848
"114","SC-CH-122","Chapecó","Proto_Je","SC",-52.76142702, -27.24311192
"115","SC-CH-181","Chapecó","Proto_Je","SC",-52.76120578, -27.20146058
"128","SC-CH-172","Chapecó","Proto_Je","SC",-52.75663389, -27.23304519
"134","SC-CH-177","Chapecó","Proto_Je","SC",-52.75390568, -27.21874637
"135","SC-CH-133","Chapecó","Proto_Je","SC",-52.75358334, -27.25422187
"149","SC-CH-47","Chapecó","Proto_Je","SC",-52.74973623, -27.24587602
"171","SC-CH-64","Chapecó","Proto_Je","SC",-52.74464208, -27.23781635
"172","SC-CH-186","Chapecó","Proto_Je","SC",-52.74460137, -27.22678727
"179","SC-CH-138","Chapecó","Proto_Je","SC",-52.74337978, -27.25335651
"213","SC-CH-79","Chapecó","Proto_Je","SC",-52.73399323, -27.23939278
"220","SC-CH-52","Chapecó","Proto_Je","SC",-52.72370158, -27.24123478
"221","SC-CH-190","Chapecó","Proto_Je","SC",-52.72359833, -27.2319123
"231","SC-CH-32","Chapecó","Proto_Je","SC",-52.7136888, -27.23955252
"240","SC-CH-159","Chapecó","Proto_Je","SC",-52.70533664, -27.25139725
"242","SC-CH-150","Chapecó","Proto_Je","SC",-52.70298904, -27.26435097
"244","SC-CH-21","Chapecó","Proto_Je","SC",-52.70280927, -27.24194176
"250","SC-CH-156","Chapecó","Proto_Je","SC",-52.70151193, -27.2754618
"264","SC-CH-12","Chapecó","Proto_Je","SC",-52.6952754, -27.25322539
"267","SC-CH-145","Chapecó","Proto_Je","SC",-52.69404985, -27.28163585
"275","SC-CH-16","Chapecó","Proto_Je","SC",-52.68984033, -27.24309176
"279","SC-CH-140","Chapecó","Proto_Je","SC",-52.68867233, -27.27072533
"283","SC-CH-03","Chapecó","Proto_Je","SC",-52.68703788, -27.26081648
"284","Colônia dos Alves","Correia Pinto","Proto_Je","SC",-50.53113363, -27.54644492
"286","Armildo Befart","Correia Pinto","Proto_Je","SC",-50.3038925, -27.55359027
"287","Sitio Dirceu","Curitibanos","Proto_Je","SC",-50.54554958, -27.47170672
"288","Gaboardi II","Curitibanos","Proto_Je","SC",-50.54236341, -27.32874831
"289","Gaboardi I","Curitibanos","Proto_Je","SC",-50.54052174, -27.31940731
"290","Doutor Pedrinho I","Doutor Pedrinho","Proto_Je","SC",-49.52103352, -26.65259318
"291","Aldeia Fulvio Aducci","Florianópolis","Proto_Je","SC",-48.57249839, -27.59164445
"292","Parque Rene Frey II","Fraiburgo","Proto_Je","SC",-50.92297543, -27.01491003
"294","S.A. Serrinha","Ipumirim","Proto_Je","SC",-52.10812158, -27.09703729
"295","Armando Vortmann","ItaÂ ","Proto_Je","SC",-52.39771919, -27.25001407
"296","Estrada do Oeste 03","Joinville","Proto_Je","SC",-48.89727512, -26.1856166
"300","Fazenda Pai Querê IV","Lages","Proto_Je","SC",-50.59706468, -28.34172458
"301","Fazenda Santa Rosa II","Lages","Proto_Je","SC",-50.59209725, -28.36006111
"303","Fazenda Guarda-Mor","Lages","Proto_Je","SC",-50.52247632, -28.34986965
"304","Fazenda Sobradinho II","Lages","Proto_Je","SC",-50.52177687, -28.3738871
"306","Fazenda Sobradinho I","Lages","Proto_Je","SC",-50.507798, -28.35993634
"307","Adair da Silva Branco II","Lages","Proto_Je","SC",-50.50295322, -28.40321036
"308","Fazenda Santa Vitória I","Lages","Proto_Je","SC",-50.46540557, -28.38496091
"309","Fazenda Cadete","Lages","Proto_Je","SC",-50.4501354, -28.36926613
"310","Praia de Seixos do Cachoeirao I","Lages","Proto_Je","SC",-50.40680317, -28.39868244
"311","Bom Jardim","Lages","Proto_Je","SC",-50.35986683, -27.93150799
"312","Fazenda Pinheirinho","Lages","Proto_Je","SC",-50.35587469, -28.3328195
"313","Passo Fundo I","Lages","Proto_Je","SC",-50.32256815, -27.79224872
"314","L. Beatriz Araújo Broering","Lages","Proto_Je","SC",-50.28268235, -27.88848397
"315","SC-CL-33","Lages","Proto_Je","SC",-50.22534136, -27.6879615
"317","SC-CL-30","Lages","Proto_Je","SC",-50.20737741, -27.68573847
"319","Adilson Rafaeli II","Lages","Proto_Je","SC",-50.20401006, -27.66204075
"321","SC-CL-28 I","Lages","Proto_Je","SC",-50.19273104, -27.72198826
"323","SC - CL- 23","Lages","Proto_Je","SC",-50.17667178, -27.67889731
"324","SC-CL-25","Lages","Proto_Je","SC",-50.1621363, -27.81474894
"325","Fortim do Atalaia","Laguna","Proto_Je","SC",-48.759081, -28.500069
"326","Iraci Idalino Nunes","Painel","Proto_Je","SC",-50.10751463, -28.12341985
"327","Guarda do Embaú I","Palhoça","Proto_Je","SC",-48.58646118, -27.90398862
"328","SC-CL-36","Palmeira","Proto_Je","SC",-50.15020761, -27.6223176
"330","Santa Terezinha VI","Passos Maia","Proto_Je","SC",-51.980822, -26.57676
"332","Sitio Craveiro I","Passos Maia","Proto_Je","SC",-51.945832, -26.66124
"333","Gruta do Ribeirao Revolver","Presidente GetÃºlio","Proto_Je","SC",-49.606597, -27.057027
"334","Estrutura Subterranea Alto Pomerano 01","Rio dos Cedros","Proto_Je","SC",-49.26680423, -26.70272382
"335","Pedro Pereira Filho","Rio Rufino","Proto_Je","SC",-49.78644694, -27.87323834
"336","Rio Leste I","Rio Rufino","Proto_Je","SC",-49.68726211, -27.90341566
"337","SC-CHA-04","São Carlos","Proto_Je","SC",-53.02001937, -26.95667137
"338","da Igreja Adventista","São Joaquim","Proto_Je","SC",-50.35588286, -28.40075295
"340","SC-P-2: Luizinho 2","São Joaquim","Proto_Je","SC",-49.84068189, -28.47929769
"341","Antônio Roque dos Anjos","São José do Cerrito","Proto_Je","SC",-50.89321059, -27.56154
"342","Lajeado Goiabeira","São José do Cerrito","Proto_Je","SC",-50.8086779, -27.56085348
"343","SPC.UHE.SR.07","São José do Cerrito","Proto_Je","SC",-50.8030324, -27.48125802
"345","SC-CHA-05","Saudades","Proto_Je","SC",-53.03095004, -26.91751598
"346","Barragem Taió 02","Taió","Proto_Je","SC",-50.04808153, -27.11030644
"347","Sitio Timbe 01","Tijucas","Proto_Je","SC",-48.6949474, -27.30201156
"348","Cafe 8","Timbó Grande","Proto_Je","SC",-50.7879935, -26.51379623
"354","Fontana 01","Treze de Maio","Proto_Je","SC",-49.14144405, -28.56229229
"355","Rio Capoeiras","Urubici","Proto_Je","SC",-49.63420846, -28.02759274
"356","Morro do Cemiterio","Urubici","Proto_Je","SC",-49.59972999, -28.02185728
"357","Gruta Lavatudo","Urubici","Proto_Je","SC",-49.59359925, -28.12713331
"358","Donizete Fernandes","Urubici","Proto_Je","SC",-49.58329856, -28.03702352
"361","S.A. Pedra Branca","Urubici","Proto_Je","SC",-49.56827614, -28.07448663
"362","aguas Brancas","Urubici","Proto_Je","SC",-49.56637586, -27.95297199
"363","Borguesan II","Urubici","Proto_Je","SC",-49.53651384, -27.99809289
"364","S.A. Santo Antônio II","Urubici","Proto_Je","SC",-49.53620327, -28.01279234
"366","SA Casa de Pedra","Urubici","Proto_Je","SC",-49.37918657, -28.0613819
"367","Valentim Muniz de Oliveira","Urupema","Proto_Je","SC",-49.87716125, -27.98363263
"368","Valdevino Machado","Vargem","Proto_Je","SC",-51.0080652, -27.44731411
"369","Ludovico Poleze II","Vargem","Proto_Je","SC",-51.00259984, -27.4104799
"371","Joao Maria da Silva Muniz","Vargem","Proto_Je","SC",-50.98096439, -27.39369543
"372","SPC.LT.SR.17","Vargem","Proto_Je","SC",-50.93428147, -27.53155003
"373","Joao Machado","Vargem","Proto_Je","SC",-50.92153115, -27.49392178
"375","SPC.LT.SR.15","Vargem","Proto_Je","SC",-50.90721729, -27.52482687
