"id","nome","Municipio","Classificação.autora","UF","decimallon","decimallat"
"1","Itacoara","Joinville","Sambaqui","SC",-48.86158838, -26.40296055
"2","Sambaqui Morro do Ouro","Joinville","Sambaqui","SC",-48.827155, -26.31437118
"3","Sambaqui Forte Marechal Luz ","São Francisco do Sul","Sambaqui","SC",-48.53227547, -26.16548693
"4","Sambaqui Ilhota 2","Ilhota","Sambaqui","SC",-48.82176827, -26.87088118
"5","Sambaqui Balsinha I","Laguna","Sambaqui","SC",-48.801474, -28.359889
"6","Pantano do Sul I","Florianópolis","Sambaqui","SC",-48.51, -27.78
"7","Praia das Laranjeiras I","Balneario CamboriÃº","Sambaqui","SC",-48.593737, -26.996715
"8","SC-ARA-050","Araranguá","Sambaqui","SC",-49.36374278, -28.93405991
"9","Morro Agudo","Araranguá","Sambaqui","SC",-49.35539706, -28.9220825
"11","Barra do Ararangua","Araranguá","Sambaqui","SC",-49.34928177, -28.92998493
"12","Fazenda dos Búfalos","Balneário Barra do Sul","Sambaqui","SC",-48.64721126, -26.46444077
"13","Costeira","Balneário Barra do Sul","Sambaqui","SC",-48.63736933, -26.45686001
"14","Sobral 1","Balneário Barra do Sul","Sambaqui","SC",-48.611185, -26.46735305
"16","Lagoa de Fora II","Balneário Gaivota","Sambaqui","SC",-49.61149155, -29.12766705
"17","Picarras 1","Balneário Piçarras","Sambaqui","SC",-48.68455729, -26.76014421
"18","Rio Itapocu","Barra Velha","Sambaqui","SC",-48.72048266, -26.60170753
"19","Areias de Baixo II","Biguaçu","Sambaqui","SC",-48.605867, -27.400035
"20","Sambaqui da Rua 13","Bombinhas","Sambaqui","SC",-48.50661439, -27.14431149
"21","Ponta dos Limões I","Florianópolis","Sambaqui","SC",-48.54481321, -27.61648507
"22","Ponta do Sambaqui","Florianópolis","Sambaqui","SC",-48.53848094, -27.49085271
"23","Carianos II","Florianópolis","Sambaqui","SC",-48.53372783, -27.66547119
"24","Ponta do Lessa I","Florianópolis","Sambaqui","SC",-48.526963, -27.57237027
"25","Saco Grande I","Florianópolis","Sambaqui","SC",-48.51279694, -27.55399003
"26","Jurerê IV","Florianópolis","Sambaqui","SC",-48.50633659, -27.45850101
"28","Ponta da Armacao I","Florianópolis","Sambaqui","SC",-48.49995487, -27.74985191
"29","Campo de Jurerê I","Florianópolis","Sambaqui","SC",-48.49664317, -27.45372528
"30","Rio Tavares IV","Florianópolis","Sambaqui","SC",-48.4876965, -27.65457574
"31","Ratones I","Florianópolis","Sambaqui","SC",-48.48298344, -27.49755608
"33","Ratones V (ocorrência A","Florianópolis","Sambaqui","SC",-48.47005571, -27.50403452
"35","Ratones IV","Florianópolis","Sambaqui","SC",-48.46816788, -27.49102528
"37","Canasvieiras I","Florianópolis","Sambaqui","SC",-48.46306022, -27.44282224
"38","Vargem Pequena I","Florianópolis","Sambaqui","SC",-48.45806001, -27.47914733
"39","Vargem do Bom Jesus II","Florianópolis","Sambaqui","SC",-48.43594243, -27.4447527
"42","Sao Joao do Rio Vermelho I","Florianópolis","Sambaqui","SC",-48.4242194, -27.51133143
"43","Residencial Pedra Branca II","Garopaba","Sambaqui","SC",-48.64837, -28.046638
"44","SC-DUN-002","Garopaba","Sambaqui","SC",-48.635145, -28.102533
"45","Encosta da Lagoa","Garopaba","Sambaqui","SC",-48.62900244, -28.04959836
"46","Capao de Garopaba","Garopaba","Sambaqui","SC",-48.62842706, -28.08227828
"47","Nova Bremen","Ibirama","Sambaqui","SC",-49.584022, -27.046629
"48","Sambaqui da Lagoa dos Freitas II","Içara","Sambaqui","SC",-49.219351, -28.806643
"49","Sambaqui Ilha dos Pereira","Imaruí","Sambaqui","SC",-48.73882415, -28.27090372
"50","Itaiópolis I","Itaiópolis","Sambaqui","SC",-49.81057655, -26.49655473
"51","Sambaqui Volta Velha I","Itapoá","Sambaqui","SC",-48.65256066, -26.09711221
"52","Jaguaruna V","Itapoá","Sambaqui","SC",-48.62783546, -26.15778925
"53","Rio Inferninho","Itapoá","Sambaqui","SC",-48.6227298, -26.14491682
"57","Jaguaruna VI","Itapoá","Sambaqui","SC",-48.61717215, -26.18188417
"58","Morro Grande I (atualizacao CNSA SC00666","Jaguaruna","Sambaqui","SC",-49.084822, -28.697285
"60","Sambaqui da Amizade","Jaguaruna","Sambaqui","SC",-49.00337422, -28.56143827
"62","Jaboticabeiras V","Jaguaruna","Sambaqui","SC",-48.97576178, -28.58100055
"64","Garopaba do Sul I","Jaguaruna","Sambaqui","SC",-48.8929, -28.625531
"65","Ribeirao do Cubatao","Joinville","Sambaqui","SC",-48.80614857, -26.20178325
"66","Sambaqui Cabecuda 01","Laguna","Sambaqui","SC",-48.83023124, -28.38557463
"68","Estreito","Laguna","Sambaqui","SC",-48.75922999, -28.37423278
