id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
99;El Arbolito;Colonia del Sacramento;Guarani;URG;-58.26;-34.127
100;Isla Vizcaino;Río Negro;Guarani;URG;-58.38041;-33.40143
101;Yaguareté;(copiado);Guarani;URG;-58.27454;-33.12453
102;Punta Negra Este;Río Negro;Guarani;URG;-58.23621;-33.10343
1410;Itapiranga;Itapiranga;Guarani;SC;-53.75;-27.183333
1411;Sao Carlos;Águas de Chapecó;Guarani;SC;-53.016667;-27.1
1412;Barra escondida 1;Mondaí;Guarani;SC;-53.433333;-27.133333
1413;Joao A. Guarantier;Volta Grande;Guarani;SC;-53.033333;-27.083333
1414;Linha Lampari;Águas de Chapecó;Guarani;SC;-53.0401163;-27.12965604
1415;Antônio Ceccon;Águas de Chapecó;Guarani;SC;-53.03858399;-27.12692566
1416;Linha Policial 5 ACH LP 5;Águas de Chapecó;Guarani;SC;-53.036909;-27.12466663
1417;Linha Policial 2 ACH LP 2;Águas de Chapecó;Guarani;SC;-53.03522247;-27.12956463
1418;Linha Policial 4 ACH LP 4;Águas de Chapecó;Guarani;SC;-53.03371616;-27.12714969
1419;Linha Policia 6 ACH LP 6;Águas de Chapecó;Guarani;SC;-53.03140784;-27.11942153
1420;ACH-LP-8;Águas de Chapecó;Guarani;SC;-53.01662244;-27.10653013
1421;Armindo Pohlmann;Alto Bela Vista;Guarani;SC;-51.97608378;-27.39429036
1422;Andre Davidiuk Malazkiewicz II;Alto Bela Vista;Guarani;SC;-51.96599797;-27.36957145
1423;Paulino Merib;Alto Bela Vista;Guarani;SC;-51.95460141;-27.47064759
1424;Andre Davidiuk Malazkiewicz;Alto Bela Vista;Guarani;SC;-51.94101067;-27.46605494
1425;Gaudêncio Machado;Alto Bela Vista;Guarani;SC;-51.93985515;-27.45032816
1426;Olipio Lohmann;Alto Bela Vista;Guarani;SC;-51.93391098;-27.44380527
1427;Antonio Dilson Castro;Alto Bela Vista;Guarani;SC;-51.92753821;-27.44643868
1428;Adalicio Fischer I;Alto Bela Vista;Guarani;SC;-51.89944958;-27.48392387
1429;Victor Paulino Rech;Alto Bela Vista;Guarani;SC;-51.89899975;-27.44345714
1430;Rui Sargafredo;Alto Bela Vista;Guarani;SC;-51.89799864;-27.49971299
1431;Homero Gettert;Alto Bela Vista;Guarani;SC;-51.89504147;-27.44070219
1432;U-381: Batista Recttor;Alto Bela Vista;Guarani;SC;-51.89055393;-27.42997028
1433;Marlene Maria Rodrigues;Alto Bela Vista;Guarani;SC;-51.88653898;-27.51868065
1434;Romildo Alexandri;Alto Bela Vista;Guarani;SC;-51.8855337;-27.42970436
1435;Sirio Lohamann;Alto Bela Vista;Guarani;SC;-50.86911767;-27.52221199
1436;Barranca do rio Parati 2;Araquari;Guarani;SC;-48.70878597;-26.35843833
1437;SC-ARA-058;Araranguá;Guarani;SC;-49.46070881;-28.90738185
1438;SC-ARA-060;Araranguá;Guarani;SC;-49.45090289;-28.91230498
1439;SC-ARA-061;Araranguá;Guarani;SC;-49.42105045;-28.91816692
1440;Aldeia Levandoski;Araranguá;Guarani;SC;-49.38194667;-28.90990578
1441;Aldeia da Balsa;Araranguá;Guarani;SC;-49.37534774;-28.92663829
1442;SC-ARA-049;Araranguá;Guarani;SC;-49.36438453;-28.9395724
1443;SC-ARA-057;Araranguá;Guarani;SC;-49.36052868;-28.93296498
1444;SC-ARA-055;Araranguá;Guarani;SC;-49.35444948;-28.91908396
1445;Campo Mae Luiza 008;Araranguá;Guarani;SC;-49.35359663;-28.89580039
1446;Campo Mae Luiza 009;Araranguá;Guarani;SC;-49.35225329;-28.89450254
1447;SC-ARA-056;Araranguá;Guarani;SC;-49.35211516;-28.91687158
1448;SC-ARA-031 - Barra do Ararangua;Araranguá;Guarani;SC;-49.349282;-28.929985
1449;Campo Mae Luiza 010;Araranguá;Guarani;SC;-49.34865661;-28.89110153
1450;Campo Mae Luiza 011;Araranguá;Guarani;SC;-49.34526804;-28.88946269
1451;SC-ARA-047;Araranguá;Guarani;SC;-49.34264987;-28.92516581
1452;Ilha do Linguado 2;Balneário Barra do Sul;Guarani;SC;-48.66332466;-26.36342531
1453;Santo Antônio;Balneário Piçarras;Guarani;SC;-48.685818;-26.748839
1454;Landim;Caibi;Guarani;SC;-53.30516509;-27.1206896
1455;Comunidade Beira Rio;Caibi;Guarani;SC;-53.295514;-27.11971972
1456;Joao Barufaldi;Caibi;Guarani;SC;-53.28718724;-27.11989172
1457;SC-CH-119;Chapecó;Guarani;SC;-52.76080263;-27.24257822
1458;SC-CH-170;Chapecó;Guarani;SC;-52.75927426;-27.23400488
1459;SC-CH-173;Chapecó;Guarani;SC;-52.75800537;-27.22779301
1460;SC-CH-176;Chapecó;Guarani;SC;-52.75559294;-27.22268758
1461;SC-CH-183;Chapecó;Guarani;SC;-52.75190946;-27.23891701
1462;SC-CH-184;Chapecó;Guarani;SC;-52.75120803;-27.23732821
1463;SC-CH-134;Chapecó;Guarani;SC;-52.74669874;-27.25764752
1464;SC-CH-165;Chapecó;Guarani;SC;-52.73780992;-27.23671891
1465;SC-CH-194;Chapecó;Guarani;SC;-52.72068631;-27.23400886
1466;SC-CH-158;Chapecó;Guarani;SC;-52.70415111;-27.25312662
1467;SC-CH-142;Chapecó;Guarani;SC;-52.69368026;-27.28191111
